Index,Longitude,Latitude,Severity,Vehicles Involved,Casualties,Date,Time,Speed Limit,Light Conditions,Weather Conditions,Road Surface Conditions,Urban or Rural,Officer Attended Scene of Accident
201250ED2E005,-4.154603,50.387578,Slight,2,2,11/02/2012,15:45,30,Daylight,Fine,Dry,Urban,Yes
201250ED2K010,-4.18138,50.387672,Slight,2,1,03/09/2012,18:06,30,Daylight,Fine,Dry,Urban,Yes
201250ED2J009,-4.161272,50.387895,Slight,3,2,26/07/2012,10:19,30,Daylight,Fine,Dry,Urban,Yes
201250ED2I014,-4.165143,50.387949,Slight,2,1,29/07/2012,10:45,30,Daylight,Fine,Dry,Urban,No
201250ED2E006,-4.138935,50.387984,Slight,2,1,27/02/2012,08:04,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F012,-4.157147,50.388457,Slight,1,1,08/07/2012,18:00,30,Daylight,Fine,Dry,Urban,Yes
201250ED2K001,-4.176189,50.388606,Slight,2,1,03/01/2012,15:00,30,Daylight,Fine,Dry,Urban,No
201250ED2K014,-4.180134,50.388721,Slight,1,1,29/11/2012,17:45,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2I015,-4.166708,50.388945,Slight,2,1,03/08/2012,16:30,30,Daylight,Fine,Dry,Urban,No
201250ED2K004,-4.166713,50.389044,Slight,2,1,13/05/2012,12:33,30,Daylight,Fine,Dry,Urban,Yes
201250ED2E001,-4.14125,50.389084,Serious,2,1,17/01/2012,18:40,30,Daylight,Fine,Wet / Damp,Urban,No
201250EL2X001,-4.114934,50.389871,Slight,2,1,22/08/2012,17:45,30,Daylight,Fine,Dry,Urban,Yes
201250ED2E008,-4.142094,50.390013,Slight,1,2,28/03/2012,20:54,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2E020,-4.142167,50.390074,Slight,1,1,09/11/2012,18:27,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,Yes
201250ED2E007,-4.139364,50.390324,Slight,2,1,04/03/2012,19:20,30,Daylight,Fine,Dry,Urban,Yes
201250EL2A018,-4.130627,50.390331,Slight,2,1,13/11/2012,15:20,30,Daylight,Fine,Wet / Damp,Urban,No
201250ED2K012,-4.177332,50.39051,Serious,2,1,16/10/2012,18:28,30,Daylight,Fine,Dry,Urban,Yes
201250EL2A017,-4.13436,50.391045,Slight,2,1,14/10/2012,13:55,30,Daylight,Fine,Dry,Urban,No
201250ED2J003,-4.170481,50.39115,Serious,1,1,29/04/2012,11:35,30,Daylight,Raining + High Winds,Wet / Damp,Urban,Yes
201250ED2E002,-4.140056,50.391327,Slight,1,1,20/01/2012,15:09,30,Daylight,Fine,Dry,Urban,Yes
201250ED2J007,-4.168373,50.391513,Slight,1,1,29/06/2012,19:15,30,Daylight,Fine,Wet / Damp,Urban,Yes
201250ED2F002,-4.154803,50.391991,Slight,2,2,24/03/2012,13:05,30,Daylight,Fine,Dry,Urban,Yes
201250EL2B003,-4.118296,50.392077,Slight,2,1,28/05/2012,09:07,30,Daylight,Fine,Dry,Urban,Yes
201250EL2B005,-4.11824,50.392087,Slight,2,1,10/10/2012,15:24,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2J013,-4.160804,50.392455,Slight,1,1,28/10/2012,12:00,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2E003,-4.149183,50.392472,Slight,1,1,03/02/2012,13:05,30,Daylight,Fine,Dry,Urban,Yes
201250EL2B002,-4.121676,50.392474,Slight,2,1,30/01/2012,08:30,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2F008,-4.149325,50.392497,Slight,2,1,20/06/2012,15:35,30,Daylight,Fine,Dry,Urban,No
201250ED2F016,-4.149298,50.392533,Slight,2,1,20/09/2012,10:15,30,Daylight,Fine,Dry,Urban,No
201250ED2K002,-4.17775,50.392579,Slight,2,1,30/01/2012,18:15,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250EL2A016,-4.132103,50.393111,Slight,2,1,30/09/2012,02:38,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EL2A001,-4.132148,50.393173,Slight,2,1,03/01/2012,07:46,30,Darkness (Lights Lit),Raining + High Winds,Wet / Damp,Urban,Yes
201250EL2A010,-4.131979,50.393176,Slight,1,1,11/06/2012,09:05,30,Daylight,Fine,Dry,Urban,Yes
201250EL2B001,-4.111446,50.393398,Slight,2,2,28/01/2012,18:24,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2J008,-4.175831,50.393695,Slight,1,1,25/06/2012,16:10,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F006,-4.14722,50.393867,Slight,2,2,09/06/2012,12:50,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EL2A022,-4.13306,50.394055,Slight,3,2,23/12/2012,12:21,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F023,-4.146688,50.394245,Slight,2,1,05/12/2012,15:50,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,No
201250ED2G001,-4.137616,50.394323,Slight,2,1,10/01/2012,17:37,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EL2A008,-4.133385,50.39503,Slight,2,1,22/05/2012,10:00,30,Daylight,Fine,Dry,Urban,No
201250EL2A014,-4.130317,50.395032,Slight,2,4,13/07/2012,23:47,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2G012,-4.143672,50.395075,Slight,3,1,19/07/2012,14:15,30,Daylight,Fine,Dry,Urban,No
201250ED2G016,-4.134093,50.395134,Slight,2,1,10/12/2012,17:41,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250ED2E004,-4.144644,50.395398,Slight,2,1,30/01/2012,11:42,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2G014,-4.144191,50.395659,Slight,2,1,08/10/2012,08:15,30,Daylight,Raining,Wet / Damp,Urban,No
201250ED2F011,-4.144475,50.395698,Slight,2,1,05/07/2012,12:45,30,Daylight,Fine,Dry,Urban,Yes
201250ED2F020,-4.144634,50.395794,Slight,2,1,22/10/2012,17:55,30,Daylight,Fine,Dry,Urban,Yes
201250EL2A020,-4.133504,50.39581,Slight,2,1,26/11/2012,08:08,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2F005,-4.147837,50.396005,Slight,2,1,09/05/2012,08:10,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250ED2C001,-4.168536,50.396017,Slight,2,1,23/01/2012,17:00,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2G002,-4.143646,50.396037,Slight,4,3,20/01/2012,19:24,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250ED2J001,-4.178236,50.396123,Serious,2,1,13/01/2012,09:40,50,Daylight,Other Weather,Wet / Damp,Urban,Yes
